OBJECTID,ID_OFFRE,TYPE_OFFRE,CODE,NOM,RUE,NUMERO,CODE_POSTA,COMMUNE,PHONE1,MAIL,SITE_WEB,FACEBOOK,X,Y,LON,LAT,ORGANISME,DATE_MODIF
4907,11.0,Découverte et Divertissement,ALD-07-00PI-00BS,Chimay Experience,rue de Poteaupré,5,6464,Chimay,+3260211433,espace@chimaygestion.be,https://www.chimay.com,https://www.facebook.com/espacechimay,148066.0,75258.0,4.34177,49.98865,Pays des Lacs,20210202000000
1,1.0,Hôtel,CGT_0001_00000006,Auberge de Poteaupré,Rue Poteaupré,5,6464,Chimay,+3260211433,poteaupre@chimaygestion.be,http://www.chimay.com,https://www.facebook.com/interrogationfleron,148082.0,75262.0,4.342,49.98869,Pays des Lacs,20210105000000
4912,11.0,Découverte et Divertissement,ALD-07-00PI-00DI,Grange aux papillons,Rue de l'Estrée,4,6461,Chimay,+3260819989,infos@lagrangeauxpapillons.com,http://www.lagrangeauxpapillons.com,https://www.facebook.com/LaGrangeAuxPapillons/,147508.0,83739.0,4.33394,50.0649,Pays des Lacs,20200128000000
11273,261.0,Restauration,RST-07-000D47,La Bonne Auberge de Virelles,Rue du Lac,28,6461,Chimay,+3260212619,info@labonneaubergedevirelles.be,http://www.labonneaubergedevirelles.be,https://www.facebook.com/interrogationfleron,147729.0,83917.0,4.33702,50.0665,Pays des Lacs,20190902000000
4884,11.0,Découverte et Divertissement,ALD-07-00NO-00DY,Virelles Nature-Survivre dans la nature,Rue du Lac,42,6461,Chimay,+3260211363,education@aquascope.be,http://www.aquascope.be,https://www.facebook.com/Aquascope-Virelles-1308494265927976/?ref=bookmarks,147830.0,83950.0,4.33843,50.0668,Pays des Lacs,20200128000000
11173,261.0,Restauration,RST-07-000CY8,Cantine de l'Aquascope,Rue du Lac,42,6461,Chimay,+3260211327,info@aquascope.be,http://www.aquascope.be,https://www.facebook.com/Pimprenelle77/?ref=br_rs,147830.0,83950.0,4.33843,50.0668,Pays des Lacs,20190730000000
11266,261.0,Restauration,RST-07-000D0C,Edgard et Madeleine,Rue du Lac,35,6461,Chimay,+3260211071,thomasdundee2@gmail.com,http://www.linterrogation.be/,https://www.facebook.com/interrogationfleron,147967.0,83990.0,4.34035,50.06716,Pays des Lacs,20190517000000
11281,261.0,Restauration,RST-07-000D49,Bouyard & Cie,Rue du Lac,41a,6461,Chimay,,traiteur.bouyard@gmail.com,http://www.bouyard.be,https://www.facebook.com/interrogationfleron,148219.0,84078.0,4.34387,50.06795,Pays des Lacs,20190919000000
4856,11.0,Découverte et Divertissement,ALD-07-000D2M,Aquascope Virelles,Rue du Lac,42,6461,Chimay,+3260211363,info@aquascope.be,http://www.aquascope.be,https://www.facebook.com/aquascope.virelles,148436.0,84239.0,4.34689,50.0694,Pays des Lacs,20210126000000
1884,2.0,Gîte,HBG-A0-004A-0NNS,La Parenthèse,Rue Saint-Pierre,28,6462,Chimay,,laparenthese-gite@hotmail.com,http://www.linterrogation.be/,https://www.facebook.com/interrogationfleron,149482.0,83643.0,4.3615,50.06404,Pays des Lacs,20210105000000
11230,261.0,Restauration,RST-07-000CZ2,L'Eau blanche,Rue Gustave Joaris,27,6463,Chimay,+3260211864,thomasdundee2@gmail.com,http://www.linterrogation.be/,https://www.facebook.com/pages/Lompret-Leau-Blanche/194298954037358,150667.0,83620.0,4.37805,50.06384,Pays des Lacs,20180627000000
4342,11.0,Découverte et Divertissement,ALD-03-01D4-0003,"Lompret, un des Plus Beaux Villages de Wallonie",Rue de la Clef,2,6463,Chimay,+3260510074,info@si-chimay.be,http://www.si-chimay.be,https://www.facebook.com/interrogationfleron,150691.0,83648.0,4.37839,50.06409,Pays des Lacs,20201216000000
1107,2.0,Gîte,CGT_0002_00000C91,La Boerderij 3,Rue Albert Dumont,59,6463,Chimay,,gene_lens@hotmail.com,http://www.la-boerderij.be,https://www.facebook.com/interrogationfleron,150876.0,86348.0,4.38098,50.08836,Pays des Lacs,20201012000000
289,2.0,Gîte,CGT_0002_00000062,La Boerderij 2,Rue Albert Dumont,59,6463,Chimay,+3236699257,gene_lens@hotmail.com,http://www.la-boerderij.be,https://www.facebook.com/interrogationfleron,150876.0,86348.0,4.38098,50.08836,Pays des Lacs,20200923000000
3468,5.0,Camping,CGT_0005_00000177,Camping: La Camargue,Rue du Rond-Point,283,6464,Chimay,+3260213092,la-camargue-sa@skynet.be,http://www.linterrogation.be/,https://www.facebook.com/interrogationfleron,146111.0,75818.0,4.3145,49.99368,Pays des Lacs,20201126000000
11190,261.0,Restauration,RST-07-000CYM,Les Etangs gourmands,rue Roger de Keyser,101,6464,Chimay,+3260212660,resto@lesetangsgourmands.be,http://www.lesetangsgourmands.be/,https://www.facebook.com/LesEtangsGourmands,146484.0,77953.0,4.31968,50.01288,Pays des Lacs,20180627000000
11245,261.0,Restauration,RST-07-000CZD,La Camargue,Rue du Rond Point,283,6464,Chimay,+3260211802,thomasdundee2@gmail.com,http://www.linterrogation.be/,https://www.facebook.com/interrogationfleron,146510.0,79012.0,4.32004,50.0224,Pays des Lacs,20180626000000
2697,3.0,Chambre d’hôtes,CHB-07-000D3B,Les Gallopins,Rue Robert Willame,163,6464,Chimay,+3260211963,annietriffet@gmail.com,http://www.linterrogation.be/,https://www.facebook.com/interrogationfleron,146765.0,79193.0,4.3236,50.02403,Pays des Lacs,20201020000000
14268,261.0,Restauration,TER-A0-002O-0IU6,Maison De Meyer,Rue de la Poterie,49,6464,Chimay,,contact@maisondemeyer.be,http://www.linterrogation.be/,https://www.facebook.com/interrogationfleron,147157.0,79438.0,4.32906,50.02623,Pays des Lacs,20200811000000
2270,3.0,Chambre d’hôtes,CHB-01-04EY-0001,Le Jardin du Feuillet,Les feuillets,18,6460,Chimay,+3260213669,claudinekinnen@yahoo.fr,http://lejardindufeuillet.be,https://www.facebook.com/lejardindufeuillet.chimay,145067.0,81381.0,4.29987,50.04369,Pays des Lacs,20201020000000
670,2.0,Gîte,GIT-07-000D3M,Le Moulin Henrot,Rue moulin Henrot,4,6460,Chimay,+3260214144,leroyvaessenx@skynet.be,http://www.lemoulinhenrotchimay.com,https://www.facebook.com/interrogationfleron,145314.0,81416.0,4.30332,50.044,Pays des Lacs,20201012000000
13749,261.0,Restauration,RST-03-01QI-003U,Meet Wok,Chaussée de Couvin,118,6460,Chimay,+3260219588,info@meetwok.be,http://meetwok.be/,https://www.facebook.com/meetwokchimay/?ref=br_rs,147302.0,81470.0,4.33107,50.0445,Pays des Lacs,20180627000000
11299,261.0,Restauration,RST-07-003Y-00B6,Les Jeunes Pousses,Rue de Forges,10,6460,Chimay,+3260514121,info@lesjeunespousses.be,http://www.legrandryeu.be,https://www.facebook.com/interrogationfleron,146285.0,81555.0,4.31687,50.04526,Pays des Lacs,20180807000000
15191,269.0,Point d’intérêt,POI-01-03W4-00UH,Hôme de l'Art - Mobilesem,avenue des Tilleuls,21,6460,Chimay,,thomasdundee2@gmail.com,http://www.mobilesem.be,https://www.facebook.com/interrogationfleron,145483.0,81577.0,4.30568,50.04545,Pays des Lacs,20180910000000
3393,5.0,Camping,CMP-01-01RN-01QY,Camping de Chimay,Allée du Prince,1,6460,Chimay,+3260210295,camping@ville-de-chimay.be,http://www.chimaycamping.be,https://www.facebook.com/interrogationfleron,145769.0,81613.0,4.30967,50.04578,Pays des Lacs,20200730000000
13868,261.0,Restauration,RST-03-01SP-0001,Espace Pizza,Place Léopold,10,6460,Chimay,+3260455333,espacepizzachimay@gmail.com,http://www.espacepizza.be/,https://www.facebook.com/Espace-pizza-Chimay-271581706268497/,146393.0,81749.0,4.31838,50.047,Pays des Lacs,20181003000000
11168,261.0,Restauration,RST-07-000CY4,La Malterie,Place Léopold,7,6460,Chimay,+3260213230,info@lamalteriechimay.be,http://www.lamalteriechimay.be,https://www.facebook.com/interrogationfleron,146421.0,81761.0,4.31877,50.04711,Pays des Lacs,20201216000000
15157,269.0,Point d’intérêt,POI-01-03W4-00OX,Dom-Bikes,chaussée de Couvin,23,6460,Chimay,+3287332819,thomasdundee2@gmail.com,http://dom-bikes.com,https://www.facebook.com/interrogationfleron,146567.0,81763.0,4.32081,50.04713,Pays des Lacs,20180910000000
15006,269.0,Point d’intérêt,POI-01-03W4-003R,Atelier vélo Mobilesem,chaussée de Couvin,10,6460,Chimay,,thomasdundee2@gmail.com,http://www.mobilesem.be,https://www.facebook.com/interrogationfleron,146518.0,81766.0,4.32013,50.04716,Pays des Lacs,20180910000000
1689,2.0,Gîte,HBG-A0-003K-11V2,Au Petit Nid Froissart,Place Froissart,5,6460,Chimay,+3260214114,agnesdepienne3@gmail.com,http://www.linterrogation.be/,https://www.facebook.com/interrogationfleron,146051.0,81775.0,4.3136,50.04724,Pays des Lacs,20200826000000
11277,261.0,Restauration,RST-07-000D48,La Charlotte,Place Froissart,8,6460,Chimay,+3260212100,vincentvincent2511@hotmail.com,http://www.linterrogation.be/,https://www.facebook.com/lacharlotte.chimay,146053.0,81782.0,4.31363,50.0473,Pays des Lacs,20200907000000
11220,261.0,Restauration,RST-07-000CYY,Le Relais,Place Léopold,3,6460,Chimay,+3260211353,johanfontesse@gmail.com,http://www.lerelaischimay.be/,https://www.facebook.com/interrogationfleron,146447.0,81800.0,4.31913,50.04746,Pays des Lacs,20180627000000
2704,3.0,Chambre d’hôtes,CHB-07-003X-00A6,Le Froissart,Place Froissart,5,6460,Chimay,+3260214114,agnesdepienne3@hotmail.com,http://www.linterrogation.be/,https://www.facebook.com/interrogationfleron,146092.0,81804.0,4.31418,50.0475,Pays des Lacs,20201020000000
11641,261.0,Restauration,RST-0A-020V-01G1,Brasserie du Casino,Place des Ormeaux,27,6460,Chimay,+3260214980,brasserieducasinochimay@hotmail.com,http://www.linterrogation.be/,https://www.facebook.com/BrasserieDuCasinoChimay,146255.0,81813.0,4.31645,50.04758,Pays des Lacs,20200907000000
4896,11.0,Découverte et Divertissement,ALD-07-00PE-000G,Petit Train Touristique de Chimay,Rue de Noailles,6,6460,Chimay,+3260510074,info@si-chimay.be,http://www.si-chimay.be/index.php/visiter/attractions/161-train-touristique.html,https://www.facebook.com/visitchimay,146384.0,81860.0,4.31825,50.048,Pays des Lacs,20210127000000
14638,14.0,Organisme touristique,OGT-01-0008BU,Syndicat d'Initiative de Chimay,Rue de Noailles,6,6460,Chimay,+3260211846,info@si-chimay.be,http://www.si-chimay.be,https://www.facebook.com/visitchimay,146380.0,81863.0,4.3182,50.04803,Pays des Lacs,20171107000000
4395,11.0,Découverte et Divertissement,ALD-03-02OC-003D,Chimay Escape Room,Grand'Place,1,6460,Chimay,+3260215404,contact@chimayescaperoom.be,https://chimayescaperoom.be/,https://www.facebook.com/TresordelAbbaye,146110.0,81936.0,4.31443,50.04868,Pays des Lacs,20210125000000
701,2.0,Gîte,GIT-07-00OM-0024,La Baie du Lièvre-Gîte à la Ferme,Les Fermes,70,6460,Chimay,,carellegoossens@hotmail.be,http://www.labaiedulievre.be/,https://www.facebook.com/interrogationfleron,140276.0,84695.0,4.2329,50.07342,Pays des Lacs,20200409000000
337,2.0,Gîte,CGT_0002_000000B3,La Baie du Lièvre 1,Les Fermes,70,6460,Chimay,,info@labaiedulievre.be,http://www.labaiedulievre.be,https://www.facebook.com/interrogationfleron,140276.0,84695.0,4.2329,50.07342,Pays des Lacs,20200409000000
2467,3.0,Chambre d’hôtes,CHB-01-0AA1-00HN,La Baie du Lièvre,Les Fermes,70,6460,Chimay,,info@labaiedulievre.be,http://www.labaiedulievre.be,https://www.facebook.com/interrogationfleron,140276.0,84695.0,4.2329,50.07342,Pays des Lacs,20200408000000
2287,3.0,Chambre d’hôtes,CGT_0003_000005AB,La Baie du Lièvre,Les Fermes,70,6460,Chimay,,info@labaiedulievre.be,http://www.labaiedulievre.be,https://www.facebook.com/interrogationfleron,140276.0,84695.0,4.2329,50.07342,Pays des Lacs,20201020000000
2681,3.0,Chambre d’hôtes,HBG-A0-002F-0R3S,La Baie du Lièvre,Les Fermes,70,6460,Chimay,,info@labaiedulievre.be,http://www.labaiedulievre.be,https://www.facebook.com/interrogationfleron,140343.0,84607.0,4.23384,50.07263,Pays des Lacs,20201020000000
2678,3.0,Chambre d’hôtes,HBG-A0-002F-0QBV,La Baie du Lièvre,Les Fermes,70,6460,Chimay,,info@labaiedulievre.be,http://www.labaiedulievre.be,https://www.facebook.com/interrogationfleron,140343.0,84607.0,4.23384,50.07263,Pays des Lacs,20201020000000
11233,261.0,Restauration,RST-07-000CZ3,Le Snack St Antoine,Rue Sainte Monégonde,44,6460,Chimay,+3260219319,snacksaintantoine@gmail.com,http://www.linterrogation.be/,https://www.facebook.com/snacksaintantoine,141235.0,82722.0,4.24635,50.0557,Pays des Lacs,20190515000000
3396,5.0,Camping,CMP-01-01RN-01RG,Camping: Mon Rêve,Rue de Bailièvre,1,6460,Chimay,+3260213971,info@camping-mon-reve.be,http://www.camping-mon-reve.be,https://www.facebook.com/interrogationfleron,142158.0,84450.0,4.2592,50.07125,Pays des Lacs,20200210000000
4374,11.0,Découverte et Divertissement,ALD-03-028N-0001,Principauté de Chimay,Rue de la Clef,2,6460,Chimay,+3260211846,hello@visitchimay.be,https://visitchimay.be/,https://www.facebook.com/VisitChimay,142648.0,85918.0,4.26602,50.08445,Pays des Lacs,20210127000000
4880,11.0,Découverte et Divertissement,ALD-07-00NJ-002T,Comme un trappeur,Rue de la Clef,2,6460,Chimay,,commeuntrappeur@live.fr,http://www.foretdupaysdechimay.be/fr/page/comme_un_trappeur,https://www.facebook.com/interrogationfleron,142648.0,85919.0,4.26602,50.08446,Pays des Lacs,20200128000000
4376,11.0,Découverte et Divertissement,ALD-03-028N-00JS,Séjour Trappeur-Survie,Rue de la Clef,2,6460,Chimay,+3271143483,foretdupaysdechimay@pnvh.be,http://www.foretdupaysdechimay.be/fr/page/sejour_trappeur_survie,https://www.facebook.com/la-Foret-du-Pays-de-Chimay,142648.0,85919.0,4.26602,50.08446,Pays des Lacs,20201216000000
11209,261.0,Restauration,RST-07-000CYR,Le Casino,Place des Ormeaux,27,6460,Chimay,+3260214980,brasserieducasinochimay@hotmail.com,http://www.linterrogation.be/,https://www.facebook.com/interrogationfleron,142648.0,85923.0,4.26602,50.0845,Pays des Lacs,20180723000000
11177,261.0,Restauration,RST-07-000CYE,Le Grand Café,Grand’Place,18,6460,Chimay,+3260511225,thomasdundee2@gmail.com,http://www.linterrogation.be/,https://www.facebook.com/Grand-Caf%C3%A9-Chimay-181374335397912/,142648.0,85923.0,4.26602,50.0845,Pays des Lacs,20180626000000
11212,261.0,Restauration,RST-07-000CYU,Le Beauchamp,Chaussée de Mons,55,6460,Chimay,+3260213870,eloyfrancis@live.fr,http://www.linterrogation.be/,https://www.facebook.com/LeBeauchamp/,144668.0,84323.0,4.29426,50.07013,Pays des Lacs,20180626000000
13716,261.0,Restauration,RST-03-01FT-0001,Taverne-restaurant du Circuit,Chaussée de Mons,74,6460,Chimay,+3260213741,corine.mathieu70@gmail.com,http://tavernerestaurantducircuit.business.site,https://www.facebook.com/Taverne-Restaurant-Du-Circuit-1877174839221403/,144682.0,84318.0,4.29446,50.07009,Pays des Lacs,20180627000000
11215,261.0,Restauration,RST-07-000CYV,La Foulque,Rue du Parc,2,6460,Chimay,+3260211735,thomasdundee2@gmail.com,http://www.linterrogation.be/,https://www.facebook.com/interrogationfleron,145888.0,82071.0,4.31132,50.0499,Pays des Lacs,20180626000000
5214,11.0,Découverte et Divertissement,ALD-0A-01Z1-0001,Château des Princes de Chimay,Rue du Château,14,6460,Chimay,+3260214531,info@chateaudechimay.be,http://www.chateaudechimay.be/,https://www.facebook.com/chateaudechimay,146046.0,81977.0,4.31354,50.04905,Pays des Lacs,20210202000000
11272,261.0,Restauration,RST-07-000D46,Lo'riginal,Rue du Four,30,6460,Chimay,+3260214616,loriginal@live.be,http://www.loriginalchimay.be,https://www.facebook.com/loriginalchimay/,146082.0,81993.0,4.31404,50.0492,Pays des Lacs,20190710000000
2047,2.0,Gîte,GIT-01-08GV-0001,Gîte de la Principauté,Rue du Château,11,6460,Chimay,,amonaux@gmail.com,http://www.gitedelaprincipaute.be/,https://www.facebook.com/interrogationfleron,146102.0,81963.0,4.31432,50.04893,Pays des Lacs,20210202000000
4386,11.0,Découverte et Divertissement,ALD-03-029I-012Z,Le secret de Chimay,Grand'Place,1,6460,Chimay,+3260215404,hello@visitchimay.be,http://www.visitchimay.be,https://www.facebook.com/SecretdeChimay,146110.0,81936.0,4.31443,50.04868,Pays des Lacs,20210125000000
11310,261.0,Restauration,RST-07-00RN-007N,Aux Millésimes,Grand Place,22,6460,Chimay,+3260212463,thomasdundee2@gmail.com,http://www.auxmillesimes.be,https://www.facebook.com/interrogationfleron,146155.0,81971.0,4.31505,50.049,Pays des Lacs,20190515000000
11187,261.0,Restauration,RST-07-000CYK,La Chimassiette,Grand'Place,16,6460,Chimay,+3260219042,thomasdundee2@gmail.com,http://www.linterrogation.be/,https://www.facebook.com/interrogationfleron,146155.0,81971.0,4.31505,50.049,Pays des Lacs,20180716000000
2249,3.0,Chambre d’hôtes,CHB-01-04BI-0001,Le Petit Chapitre - Chambre Opéra,Place du Chapitre,5,6460,Chimay,+3260211042,brim@skynet.be,http://www.lepetitchapitre.be,https://www.facebook.com/interrogationfleron,146255.0,82041.0,4.31645,50.04963,Pays des Lacs,20190821000000
2239,3.0,Chambre d’hôtes,CHB-01-04BH-000O,Le Petit Chapitre - Chambre aux Oiseaux,Place du Chapitre,5,6460,Chimay,+3260211042,brim@skynet.be,http://www.lepetitchapitre.be,https://www.facebook.com/interrogationfleron,146255.0,82041.0,4.31645,50.04963,Pays des Lacs,20190821000000
2224,3.0,Chambre d’hôtes,CGT_0003_000003D1,Le Petit Chapitre - Chambre Antoinette,Place du Chapitre,5,6460,Chimay,+3260211042,brim@skynet.be,http://www.lepetitchapitre.be,https://www.facebook.com/interrogationfleron,146255.0,82041.0,4.31645,50.04963,Pays des Lacs,20201020000000
2246,3.0,Chambre d’hôtes,CHB-01-04BH-00HX,Le Petit Chapitre- Chambre Coton,Place du Chapitre,5,6460,Chimay,+3260211042,brim@skynet.be,http://www.lepetitchapitre.be,https://www.facebook.com/interrogationfleron,146255.0,82041.0,4.31645,50.04963,Pays des Lacs,20190821000000
2242,3.0,Chambre d’hôtes,CHB-01-04BH-009X,Le Petit Chapitre - Chambre Bleue,Place du Chapitre,5,6460,Chimay,+3260211042,brim@skynet.be,http://www.lepetitchapitre.be,https://www.facebook.com/interrogationfleron,146255.0,82041.0,4.31645,50.04963,Pays des Lacs,20201020000000
4900,11.0,Découverte et Divertissement,ALD-07-00PE-00BK,Collégiale Saints Pierre et Paul,Rue de Noailles,6,6460,Chimay,+3260211846,info@si-chimay.be,http://www.si-chimay.be/index.php/visiter/159-collegiale-saints-pierre-et-paul.html,https://www.facebook.com/visitchimay,146316.0,81989.0,4.31731,50.04916,Pays des Lacs,20201103000000
15058,269.0,Point d’intérêt,POI-01-03W4-00AI,But Sport,Rue de Virelles,18,6460,Chimay,+3260213339,thomasdundee2@gmail.com,http://www.linterrogation.be/,https://www.facebook.com/chimay.sport.3/,146554.0,81989.0,4.32062,50.04916,Pays des Lacs,20191021000000
